name,id_location
Kimbell Museum of Art,"Fort Worth, USA"
Kölner Kunstverein,"Cologne, Germany"
Kröller-Müller Museum,"Otterlo, Netherlands"
Kunstforening,"Bergen, Norway"
Kunsthalle,"Bern, Switzerland"
Kunsthalle Basel,"Basel, Switzerland"
Kunsthalle Bremen,"Bremen, Germany"
Kunsthalle der Hypo-Kulturstiftung,"Munich, Germany"
Kunsthalle Tübingen,"Tübingen, Germany"
Kunsthandel C.M. van Gogh,"Amsterdam, Netherlands"
Kunsthandlung Emil Richter,"Dresden, Germany"
Kunsthaus Zurich,"Zürich, Switzerland"
Kunsthaus Zürich,"Zürich, Switzerland"
Kunsthistorisches Museum,"Vienna, Austria"
Kunstmuseum Bern,"Bern, Switzerland"
Kunstmuseum Middelburg,"Middelburg, Netherlands"
Kunstnernes Hus,"Oslo, Norway"
Kunstsalon Paul Cassirer,"Berlin, Germany"
Kyoto Municipal Museum of Art,"Kyoto, Japan"
Kyushu National Museum,"Dazaifu, Japan"
La Cinémathèque française,"Paris, France"
La Galleria Nazionale,"Rome, Italy"
Laing Art Gallery,"Newcastle upon Tyne, England"
Lakeside Press Galleries,"Chicago, USA"
Larensche Kunsthandel,"Amsterdam, Netherlands"
Lazar Khidekel Society,"New York, USA"
Le Barc de Boutteville,"Paris, France"
Lehrter Bahnhof,"Berlin, Germany"
Leicester Galleries,"London, England"
Leopold Museum,"Vienna, Austria"
Les XX,"Brussels, Belgium"
Los Angeles County Museum,"Los Angeles, California"
Los Angeles County Museum of Art,"Los Angeles, California"
Los Angeles County Museum of Modern Art,"Los Angeles, California"
Louisiana Museum of Modern Art,"Humlebaek, Denmark"
Lowe Gallery of the University of Miami,"Coral Gables, USA"
M. H. DeYoung Memorial Museum,"San Francisco, USA"
M. Knoedler & Co.,"New York, USA"
M.H. de Young Memorial Museum,"San Francisco, USA"
Magasin Generaux of Pantin,"Pantin, France"
Malacañang Museum,"Manila, Philippines"
Malmö Museum,"Malmö, Sweden"
Manchester Art Gallery,"Manchester, England"
Manchester City Art Gallery,"Manchester, England"
Marlborough Fine Art Ltd.,"London, England"
Mauritshuis,"Hague, Netherlands"
MAXXI National Museum of XXI Century Arts,"Rome, Italy"
"Melville Hall, Australian National University","Canberra, Australia"
Metropolitan Museum of Art,"New York, USA"
Ministry of Culture,"Madrid, Spain"
Minneapolis Institute of Art,"Minneapolis, USA"
Minneapolis Institute of Arts,"Minneapolis, USA"
Modern Art Oxford,"Oxford, England"
Moderna Museet,"Stockholm, Sweden"
Moderne Kunsthandlung,"Munich, Germany"
Montreal Museum of Fine Arts,"Montreal, Canada"
Morris and Helen Belkin Art Gallery,"Vancouver, Canada"
Munch Museum,"Oslo, Norway"
Musée Cantini,"Marseille, France"
Musée d'Art Moderne et Contemporain Strasbourg,"Strasbourg, France"
Musée d'Orsay,"Paris, France"
Musée d’Art Moderne de la Ville de Paris,"Paris, France"
Musée d’Orsay,"Paris, France"
Musée de Grenoble,"Grenoble, France"
Musée de l'Orangerie,"Paris, France"
Musee de l’Orangerie,"Paris, France"
Musée de l’Orangerie,"Paris, France"
Musée de Lyon,"Lyon, France"
Musée des Arts Décoratifs,"Paris, France"
Musée des Beaux-arts,"Montreal, Canada"
Musée des Beaux-Arts de la Ville de Paris,"Paris, France"
Musée du cinéma,"Paris, France"
Musée du Louvre,"Paris, France"
Musée Rath,"Geneva, Switzerland"
Museo e Gallerie Nazionali di Capodimonte,"Naples, Italy"
Museo Frida Kahlo,"Mexico, Mexico"
Museo Lázaro Galdiano,"Madrid, Spain"
Museo Nacional del Prado,"Madrid, Spain"
Museo Robert Brady,"Mexico, Mexico"
Museu Coleção Berardo,"Lisbon, Portugal"
Museu da Casa Brasileira,"São Paulo, Brazil"
Museu de Arte Moderna de São Paulo,"São Paulo, Brazil"
Museu de Arte Moderna do Rio de Janeiro,"Rio de Janeiro, Brazil"
Museu do Ipiranga,"São Paulo, Brazil"
Museum am Ostwall,"Dortmund, Germany"
Museum De Lakenhal,"Leiden, Netherlands"
Museum der bildenden Künste Leipzig,"Leipzig, Germany"
Museum Folkwang,"Essen, Germany"
Museum of Art,"Ohio, USA"
Museum of Fine Arts,"Boston, USA"
Museum of Fine Arts Boston,"Boston, USA"
"Museum of Fine Arts, Houston","Houston, USA"
Museum of Modern Art,"New York, USA"
Museum van Oudheden,"Leiden, Netherlands"
Museum voor Schone Kunsten,"Antwerp, Belgium"
Museum voor Schone Kunsten (Gent),"Ghent, Belgium"
Museum voor Schoone Kunsten,"Mons, Belgium"
Nagoya City Museum,"Nagoya, Japan"
National Academy of Design,"New York, USA"
National Art Center,"Tokyo, Japan"
National Dr. Sun Yat-sen Memorial Hall,"New Taipei, Taiwa"
National Gallery,"London, England"
National Gallery of Art,"Washington, USA"
National Gallery of Australia,"Parkes, Australia"
National Gallery of Canada,"Ottawa, Canada"
National Gallery of Greece,"Athens, Greece"
National Gallery of Modern Art,"New Delhi, India"
National Gallery of Victoria,"Southbank, Australia"
National Museum of Modern Art,"Tokyo, Japan"
National Museum of Women in Art,"Washington, USA"
National Museum of Women in the Arts,"Washington, USA"
Nationalgalerie,"Berlin, Germany"
Nationalmuseum,"Stockholm, Sweden"
New Britain Museum of American Art,"New Britain, USA"
Ny Carlsberg Glyptotek,"Copenhagen, Denmark"
Orangerie des Tuileries,"Paris, France"
Osaka City Museum of Fine Arts,"Osaka, Japan"
Österreichische Galerie Belvedere,"Vienna, Austria"
Palacio de Bellas Artes,"Mexico, Mexico"
Palais des Beaux-Arts,"Lille, France"
Palais Royal,"Paris, France"
Palazzo Reale,"Milan, Italy"
Paleis voor Schoone Kunsten,"Brussels, Belgium"
Pasadena Art Museum,"Pasadena, USA"
Pavillon Fontaine,"Paris, France"
Pennsylvania Museum of Art,"Philadelphia, USA"
Petit Palais,"Paris, France"
Philadelphia Museum of Art,"Philadelphia, USA"
Phillips Collection,"Washington, USA"
Pinacoteca di Brera,"Milan, Italy"
Portland Art Museum,"Portland, USA"
Pulchri Studio,"Hague, Netherlands"
Raadhuis Heerlen,"Heerlen, Netherlands"
Raadhuis Hilversum,"Hilversum, Netherlands"
Renwick Gallery,"Washington, USA"
Rijksmuseum Twenthe,"Enschede, Netherlands"
Rijksmuseum Vincent van Gogh,"Amsterdam, Netherlands"
Rotterdamsche Kunstkring,"Rotterdam, Netherlands"
Royal Academy of Arts,"London, England"
Royal Museum of Scotland,"Edinburgh, Scotland"
Saginaw Museum of Art,"Saginaw, Michigan"
Saidenberg Gallery,"New York, USA"
Salon des Indépendants,"Paris, France"
Salon des refusés,"Paris, France"
San Diego Fine Art Gallery,"San Diego, USA"
San Francisco Museum of Art,"San Francisco, USA"
Santa Fe Museum of Fine Arts,"Santa Fe, USA"
School of the Art Institute of Chicago,"Chicago, USA"
Scuderie del Quirinale,"Rome, Italy"
Seattle Art Museum,"Seattle, USA"
Seiji Togo Memorial Yasuda Kasai Museum of Art,"Tokyo, Japan"
Setagaya Art Museum,"Tokyo, Japan"
Shanghai PowerLong Museum,"Shanghai, China"
Sidney Janis Gallery,"New York, USA"
Skidmore College,"New York, USA"
Smith College Museum of Art,"Northampton, USA"
Smithsonian American Art Museum,"Washington, USA"
Society of the Four Arts,"Palm Beach, USA"
Solomon R. Guggenheim Museum,"New York, USA"
Staatliche Kunstsammlungen Dresden,"Dresden, Germany"
Staatsgalerie Stuttgart,"Stuttgart, Germany"
Stadthalle Wolfsburg,"Wolfsburg, Germany"
State Chancellery Saarland,"Saarbrücken, Germany"
Statens Museum,"Copenhagen, Denmark"
Statens Museum for Kunst,"Copenhagen, Denmark"
Stedelijk Museum,"Amsterdam, Netherlands"
Stedelijk Museum Alkmaar,"Alkmaar, Netherlands"
Stedelijk Museum Amsterdam,"Amsterdam, Netherlands"
Stedelijk Museum Schiedam,"Schiedam, Netherlands"
Sterling and Francine Clark Art Institute,"Williamstown, USA"
Syracuse Museum of Fine Arts,"Syracuse, USA"
Tasmanian Museum and Art Gallery,"Hobart, Australia"
Tate Britain,"London, England"
Tate Gallery,"London, England"
The Adolpho Leirner Collection of Brazilian Constructive Art,"Houston, USA"
The Art Gallery of Toronto,"Toronto, Canada"
The Art Institute of Chicago,"Chicago, USA"
The Arts Club of Chicago,"Chicago, USA"
The Arts Council of Great Britain,"Manchester, England"
The Fine Arts Museums of San Francisco,"San Francisco, USA"
The Frick Collection,"New York, USA"
The Institute of Modern Art,"Brisbane, Australia"
The J. Paul Getty Museum,"Los Angeles, California"
The McMichael Canadian Art Collection,"Vaughan, Canada"
The Metropolitan Museum of Art,"New York, USA"
The Museum of Fine Arts,"Boston, USA"
The Museum of Modern Art,"New York, USA"
The National Art Center,"Tokyo, Japan"
The New Gallery,"Calgary, Canada"
The Whitney Museum of American Art,"New York, USA"
Tokyo Metropolitan Art Museum,"Tokyo, Japan"
Toledo Museum of Art,"Toledo, USA"
Tsinghua University Art Museum,"Beijing, China"
Uffizi Gallery,"Florence, Italy"
"University Art Museum, University of California","Vista, USA"
University of Arizona Museum of Art,"Tucson, USA"
Van Abbemuseum,"Eindhoven, Netherlands"
Van Gogh Museum,"Amsterdam, Netherlands"
Vancouver Art Gallery,"Vancouver, Canada"
Vereeniging Voor de Kunst,"Utrecht, Netherlands"
Waaggebouw,"Nijmegen, Netherlands"
Wadsworth Atheneum,"Hartford, USA"
Wadsworth Atheneum Museum of Art,"Hartford, USA"
Walker Art Gallery,"Liverpool, England"
Wallraf-Richartz Museum,"Cologne, Germany"
Washington Gallery of Modern Art,"Washington, USA"
Whitney Museum of American Art,"New York, USA"
William R. Nelson Gallery,"Kansas, USA"
William Rockhill Nelson Gallery of Art and Mary Atkins Museum of Fine Arts,"Kansas, USA"
Winnipeg Art Gallery,"Winnipeg, Canada"
Worcester Art Museum,"Worcester, USA"
World House Galleries,"New York, USA"
Württembergischer Kunstverein,"Stuttgart, Germany"
Zaal Comité voor Artistieke Werking,"Antwerp, Belgium"
Государственный Русский музей,"Saint Petersburg, Russia"
Одесский историко-краеведческий музей,"Odesa, Ukraine"
